id_espace_vert,nom_espace_vert,type_espace_vert,code_postal,arr_num,surface_m2
163,JARDINET DE L'OEIL DU CANAL,Jardinets décoratifs,75011,11.0,740.0
11144,JARDINIERE VERTICALE DU 4 RUE FROMENT,Murs végétalisés,75011,11.0,0.0
10974,JARDINIERE DE LA PLACE MARIE CLAUDE VAILLANT COUTURIER,Décorations sur la voie publique,75004,4.0,224.0
10036,PARC DE BAGATELLE,Promenades ouvertes,75016,16.0,227125.0
795,28-03,Périphérique,75020,20.0,6030.0
10362,JARDINIERES DE LA RUE JEANNE D'ARC,Décorations sur la voie publique,75013,13.0,105.0
10365,JARDINIERES DES RUES MARYSE BASTIER - JOSEPH BEDIER,Décorations sur la voie publique,75013,13.0,252.0
12998,JARDINIERES EVQ DE LA RUE DE CHAUMONT,Décorations sur la voie publique,75019,19.0,33.0
11599,20-01,Périphérique,75017,17.0,3228.0
12904,JARDINIERES DE LA PLACE CONSTANTIN BRANCUSI,Décorations sur la voie publique,75014,14.0,112.0
476,JARDINET DE LA MAIRIE DU XVIIEME,Jardinets décoratifs,75017,17.0,517.0
538,SQUARE SAINTE-HELENE,Promenades ouvertes,75018,18.0,2140.0
313,JARDIN PARTAGE DE L'AQUEDUC,"Ephémères, partagés, pédagogiques",75014,14.0,1340.0
559,JARDINET DU 28 RUE GABRIELLE,Jardinets décoratifs,75018,18.0,560.0
11582,35-04,Périphérique,75012,12.0,200.0
10705,DECORATION DE L'AVENUE DE LA PORTE DE BAGNOLET,Décorations sur la voie publique,75020,20.0,192.0
96,SQUARE LOUIS XVI,Promenades ouvertes,75008,8.0,4184.0
152,PROMENADE RICHARD LENOIR SQUARE RICHARD LENOIR,Promenades ouvertes,75011,11.0,4875.0
171,SQUARE EMILE COHL,Promenades ouvertes,75012,12.0,3036.0
10141,JARDIN DE L'IMPERATRICE EUGENIE,Promenades ouvertes,75012,12.0,1500.0
22,SQUARE HENRI GALLI,Promenades ouvertes,75004,4.0,2000.0
247,JARDIN JEAN-CLAUDE NICOLAS FORESTIER,Promenades ouvertes,75013,13.0,6180.0
369,JARDIN ATLANTIQUE,Promenades ouvertes,75015,15.0,34200.0
11131,JARDINIERE VERTICALE DU 49 RUE LUCIEN SAMPAIX,Murs végétalisés,75010,10.0,1.0
