annee,arrondissement,code_postal,ville,nb_plai,nb_plus,nb_pls
2009,19,75019,Paris,0,2,0
2009,20,75020,Paris,0,0,18
2009,6,75006,Paris,0,1,0
2009,5,75005,Paris,0,1,0
2010,20,75020,Paris,0,0,49
2010,4,75004,Paris,0,7,0
2010,8,75008,Paris,4,11,3
2010,16,75016,Paris,6,17,6
2010,1,75001,Paris,2,3,0
2010,11,75011,Paris,5,12,0
2010,14,75014,Paris,0,112,0
2010,12,75012,Paris,6,13,5
2010,10,75010,Paris,0,1,0
2010,19,75019,Paris,0,147,0
2010,10,75010,Paris,4,10,0
2010,10,75010,Paris,0,14,0
2010,13,75013,Paris,0,1,0
2010,18,75018,Paris,0,1,0
2010,19,75019,Paris,0,6,9
2010,10,75010,Paris,4,7,3
2011,16,75016,Paris,0,1,0
2011,14,75014,Paris,0,6,2
2011,11,75011,Paris,0,2,0
2011,15,75015,Paris,4,15,4
2011,13,75013,Paris,0,1,0
2011,16,75016,Paris,0,2,0
2011,4,75004,Paris,0,15,0
2011,12,75012,Paris,1,6,1
2011,19,75019,Paris,0,0,12
2011,19,75019,Paris,0,6,0
2012,20,75020,Paris,129,0,0
2012,10,75010,Paris,0,3,0
2012,9,75009,Paris,5,5,2
2012,14,75014,Paris,1,0,0
2012,20,75020,Paris,1,4,4
2012,16,75016,Paris,1,0,1
2012,20,75020,Paris,0,1,0
2012,12,75012,Paris,6,9,6
2012,13,75013,Paris,0,1,0
2013,20,75020,Paris,24,0,0
2013,11,75011,Paris,3,10,3
2013,11,75011,Paris,18,26,5
2013,11,75011,Paris,0,1,0
2013,12,75012,Paris,1,0,0
2013,17,75017,Paris,0,1,0
2013,20,75020,Paris,0,0,36
2013,17,75017,Paris,23,55,33
2013,19,75019,Paris,0,0,73
2014,1,75001,Paris,5,6,0
2014,20,75020,Paris,0,61,0
2014,20,75020,Paris,0,0,1
2014,5,75005,Paris,22,40,27
2014,19,75019,Paris,0,0,50
2014,19,75019,Paris,0,14,0
